match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
109,2018,Jaipur,2022-05-28,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,wickets,0,Chennai Super Kings,0,8,MS Dhoni,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
110,2021,Jaipur,2022-06-14,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,bat,runs,0,Delhi Capitals,44,0,Mitchell Marsh,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
111,2018,Mohali,2022-06-28,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,1,0,KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
112,2019,Chennai,2022-07-12,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,wickets,0,Rajasthan Royals,0,7,Yashasvi Jaiswal,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
113,2018,Mumbai,2022-07-27,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,7,Shreyas Iyer,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
114,2023,Delhi,2022-08-10,Punjab Kings,Gujarat Titans,Punjab Kings,bat,wickets,0,Gujarat Titans,0,3,Sam Curran,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
115,2023,Mumbai,2022-08-20,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,wickets,0,Punjab Kings,0,3,Liam Livingstone,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
116,2022,Bengaluru,2022-09-04,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,field,runs,0,Royal Challengers Bengaluru,18,0,Faf du Plessis,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
117,2024,Kolkata,2022-09-18,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,5,Glenn Maxwell,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
118,2019,Lucknow,2022-10-06,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,7,Ayush Badoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
119,2021,Ahmedabad,2022-10-17,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,wickets,0,Rajasthan Royals,0,2,Marcus Stoinis,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
120,2020,Lucknow,2022-10-29,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,bat,wickets,0,Royal Challengers Bengaluru,0,1,Nicholas Pooran,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
121,2021,Mohali,2022-11-14,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,22,0,Shimron Hetmyer,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
122,2020,Mohali,2022-11-29,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,wickets,0,Kolkata Knight Riders,0,2,Rinku Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
123,2023,Lucknow,2022-12-12,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,92,0,Heinrich Klaasen,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
124,2024,Mumbai,2022-12-27,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,runs,0,Mumbai Indians,33,0,Suryakumar Yadav,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
125,2019,Kolkata,2023-01-08,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,field,runs,0,Royal Challengers Bengaluru,32,0,Glenn Maxwell,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
126,2019,Mumbai,2023-01-21,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,wickets,0,Mumbai Indians,0,1,Axar Patel,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
127,2022,Ahmedabad,2023-02-05,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,34,0,Rohit Sharma,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
128,2024,Jaipur,2023-02-19,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,6,Nicholas Pooran,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
129,2020,Jaipur,2023-03-07,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,wickets,0,Rajasthan Royals,0,6,Jos Buttler,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
130,2024,Lucknow,2023-03-19,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,wickets,0,Punjab Kings,0,9,Abhishek Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
131,2022,Mumbai,2023-04-03,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,runs,0,Mumbai Indians,11,0,Quinton de Kock,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
132,2020,Bengaluru,2023-04-20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Chennai Super Kings,25,0,Jos Buttler,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
133,2023,Bengaluru,2023-05-01,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,7,Quinton de Kock,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
134,2024,Kolkata,2023-05-18,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,wickets,0,Sunrisers Hyderabad,0,5,Abhishek Sharma,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
135,2018,Delhi,2023-05-27,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Chennai Super Kings,0,4,Tailender 6,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
136,2021,Kolkata,2023-06-13,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Kolkata Knight Riders,0,7,Venkatesh Iyer,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
137,2018,Ahmedabad,2023-06-26,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,bat,wickets,0,Royal Challengers Bengaluru,0,5,Rahul Tripathi,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
138,2022,Mohali,2023-07-11,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,3,0,Yashasvi Jaiswal,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
139,2020,Chennai,2023-07-24,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,runs,0,Delhi Capitals,1,0,Axar Patel,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
140,2021,Hyderabad,2023-08-10,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,wickets,0,Delhi Capitals,0,7,David Warner,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
141,2024,Kolkata,2023-08-20,Gujarat Titans,Royal Challengers Bengaluru,Gujarat Titans,bat,runs,0,Gujarat Titans,12,0,Shubman Gill,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
142,2024,Bengaluru,2023-09-07,Punjab Kings,Gujarat Titans,Punjab Kings,bat,runs,0,Punjab Kings,32,0,Jonny Bairstow,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
143,2021,Hyderabad,2023-09-19,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,wickets,0,Chennai Super Kings,0,5,Ajinkya Rahane,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
144,2019,Jaipur,2023-10-02,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,wickets,0,Chennai Super Kings,0,5,Ajinkya Rahane,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
145,2024,Kolkata,2023-10-16,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,wickets,0,Rajasthan Royals,0,7,Riyan Parag,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
146,2024,Chennai,2023-11-02,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Sunrisers Hyderabad,0,8,Heinrich Klaasen,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
147,2024,Hyderabad,2023-11-12,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,wickets,0,Chennai Super Kings,0,4,Devon Conway,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
148,2020,Mohali,2023-11-29,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Rajasthan Royals,0,7,Yashasvi Jaiswal,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
149,2021,Delhi,2023-12-14,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,tie,0,Gujarat Titans,0,0,Shimron Hetmyer,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
150,2023,Lucknow,2023-12-25,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,0,5,Aiden Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
151,2018,Delhi,2024-01-08,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,16,0,Venkatesh Iyer,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
152,2022,Kolkata,2024-01-21,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,wickets,0,Royal Challengers Bengaluru,0,5,Faf du Plessis,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
153,2024,Mumbai,2024-02-06,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Chennai Super Kings,0,7,Devon Conway,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
154,2023,Jaipur,2024-02-18,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,7,KL Rahul,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
155,2023,Bengaluru,2024-03-07,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,bat,runs,0,Delhi Capitals,9,0,KL Rahul,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
156,2022,Ahmedabad,2024-03-20,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,field,runs,0,Royal Challengers Bengaluru,4,0,Virat Kohli,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
157,2020,Mohali,2024-04-03,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,bat,wickets,0,Gujarat Titans,0,2,Tailender 7,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
158,2021,Chennai,2024-04-15,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,9,Quinton de Kock,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
159,2018,Kolkata,2024-04-28,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,4,Nicholas Pooran,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
160,2023,Bengaluru,2024-05-13,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,3,Nicholas Pooran,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
161,2023,Lucknow,2024-05-30,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,runs,0,Kolkata Knight Riders,26,0,Tailender 6,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
162,2022,Kolkata,2024-06-08,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,wickets,0,Gujarat Titans,0,2,Matthew Wade,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
163,2023,Hyderabad,2024-06-26,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,2,Tailender 6,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
164,2023,Mohali,2024-07-07,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,runs,0,Delhi Capitals,1,0,Shubman Gill,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
165,2018,Hyderabad,2024-07-25,Chennai Super Kings,Punjab Kings,Punjab Kings,field,runs,0,Chennai Super Kings,52,0,Jonny Bairstow,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
166,2019,Lucknow,2024-08-04,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,runs,0,Delhi Capitals,40,0,Prithvi Shaw,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
167,2020,Jaipur,2024-08-21,Punjab Kings,Rajasthan Royals,Punjab Kings,field,wickets,0,Punjab Kings,0,8,Liam Livingstone,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
168,2023,Ahmedabad,2024-09-04,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,runs,0,Kolkata Knight Riders,56,0,Liam Livingstone,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
169,2020,Jaipur,2024-09-14,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,wickets,0,Rajasthan Royals,0,7,Shimron Hetmyer,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
170,2018,Mumbai,2024-09-30,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Chennai Super Kings,17,0,MS Dhoni,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
171,2019,Jaipur,2024-10-14,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Sunrisers Hyderabad,0,3,Nicholas Pooran,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
172,2020,Mohali,2024-10-30,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,0,Delhi Capitals,11,0,Rishabh Pant,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
173,2021,Ahmedabad,2024-11-09,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,runs,0,Punjab Kings,74,0,Liam Livingstone,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
174,2024,Kolkata,2024-11-26,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Chennai Super Kings,28,0,MS Dhoni,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
175,2020,Lucknow,2024-12-12,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,runs,0,Punjab Kings,1,0,Jos Buttler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
176,2023,Delhi,2024-12-21,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,62,0,Rinku Singh,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
177,2021,Bengaluru,2025-01-04,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,runs,0,Royal Challengers Bengaluru,27,0,Ajinkya Rahane,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
178,2024,Jaipur,2025-01-21,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,wickets,0,Sunrisers Hyderabad,0,7,Abhishek Sharma,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
179,2021,Ahmedabad,2025-02-06,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,wickets,0,Delhi Capitals,0,2,Rishabh Pant,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
180,2020,Ahmedabad,2025-02-19,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,runs,0,Kolkata Knight Riders,29,0,Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
